ts_code,symbol,exchange,name,fut_code,type,related_code
A.DCE,A,DCE,豆一主力,A,2,A2205.DCE
AG.SHF,AG,SHFE,白银主力,AG,2,AG2205.SHF
AGL.SHF,AGL,SHFE,白银连续,AG,1,
AL.DCE,AL,DCE,豆一连续,A,1,
AL.SHF,AL,SHFE,沪铝主力,AL,2,AL2204.SHF
ALL.SHF,ALL,SHFE,沪铝连续,AL,1,
AP.ZCE,AP,CZCE,苹果主力,AP,2,AP2205.ZCE
APL.ZCE,APL,CZCE,苹果连续,AP,1,
AU.SHF,AU,SHFE,黄金主力,AU,2,AU2206.SHF
AUL.SHF,AUL,SHFE,黄金连续,AU,1,
B.DCE,B,DCE,豆二主力,B,2,B2204.DCE
BL.DCE,BL,DCE,豆二连续,B,1,
BU.SHF,BU,SHFE,沥青主力,BU,2,BU2206.SHF
BUL.SHF,BUL,SHFE,沥青连续,BU,1,
C.DCE,C,DCE,玉米主力,C,2,C2205.DCE
CF.ZCE,CF,CZCE,棉花主力,CF,2,CF2205.ZCE
CFL.ZCE,CFL,CZCE,棉花连续,CF,1,
CJ.ZCE,CJ,CZCE,红枣主力,CJ,2,CJ2205.ZCE
CJL.ZCE,CJL,CZCE,红枣连续,CJ,1,
CL.DCE,CL,DCE,玉米连续,C,1,
CU.SHF,CU,SHFE,沪铜主力,CU,2,CU2204.SHF
CUL.SHF,CUL,SHFE,沪铜连续,CU,1,
EB.DCE,EB,DCE,苯乙烯主力,EB,2,EB2204.DCE
EBL.DCE,EBL,DCE,苯乙烯连续,EB,1,
EG.DCE,EG,DCE,乙二醇主力,EG,2,EG2205.DCE
EGL.DCE,EGL,DCE,乙二醇连续,EG,1,
FG.ZCE,FG,CZCE,玻璃主力,FG,2,FG2209.ZCE
FGL.ZCE,FGL,CZCE,玻璃连续,FG,1,
FU.SHF,FU,SHFE,燃油主力,FU,2,FU2205.SHF
FUL.SHF,FUL,SHFE,燃油连续,FU,1,
HC.SHF,HC,SHFE,热轧卷板主力,HC,2,HC2205.SHF
HCL.SHF,HCL,SHFE,热轧卷板连续,HC,1,
I.DCE,I,DCE,铁矿石主力,I,2,I2205.DCE
IL.DCE,IL,DCE,铁矿石连续,I,1,
J.DCE,J,DCE,焦炭主力,J,2,J2205.DCE
JD.DCE,JD,DCE,鸡蛋主力,JD,2,JD2205.DCE
JDL.DCE,JDL,DCE,鸡蛋连续,JD,1,
JL.DCE,JL,DCE,焦炭连续,J,1,
JM.DCE,JM,DCE,焦煤主力,JM,2,JM2205.DCE
JML.DCE,JML,DCE,焦煤连续,JM,1,
L.DCE,L,DCE,塑料主力,L,2,L2205.DCE
LH.DCE,LH,DCE,生猪主力,LH,2,LH2205.DCE
LHL.DCE,LHL,DCE,生猪连续,LH,1,
LL.DCE,LL,DCE,塑料连续,L,1,
LU.INE,LU,INE,低硫燃料油主力,LU,2,LU2204.INE
LUL.INE,LUL,INE,低硫燃料油连续,LU,1,
M.DCE,M,DCE,豆粕主力,M,2,M2205.DCE
MA.ZCE,MA,CZCE,甲醇主力,MA,2,MA2205.ZCE
MAL.ZCE,MAL,CZCE,甲醇连续,MA,1,
ML.DCE,ML,DCE,豆粕连续,M,1,
NI.SHF,NI,SHFE,沪镍主力,NI,2,NI2206.SHF
NIL.SHF,NIL,SHFE,沪镍连续,NI,1,
NR.INE,NR,INE,20号胶主力,NR,2,NR2204.INE
